# t	u	y	glucose	insulin	remote_insulin_effect	infusion_rate	meal_disturbance
# model_name=glucose_insulin_bergman, controlled_output=glucose_deviation, dt=0.1 sec, dt_sim=0.01 sec, input_type=random_steps, preg_blackbox_enabled=False, r_preg=-0.05, Gb=5.5, Ib=10, U0=0, U_gain=2.2, tau_pump=0.2, p1=0.025, p2=0.03, p3=0.0012, n=0.1, V_I=12, meal_amp=0.12, meal_time=45, meal_tau=14
1.8693000000e+03	4.5560087213e-02	-3.0832179670e+00	2.4167820330e+00	1.0957919722e+01	3.4944446999e-02	1.1500814490e+00	0.0000000000e+00
1.8694000000e+03	4.5560087213e-02	-3.0839542466e+00	2.4160457534e+00	1.0957924513e+01	3.4954549152e-02	1.1500814490e+00	0.0000000000e+00
1.8695000000e+03	4.5560087213e-02	-3.0846885549e+00	2.4153114451e+00	1.0957929256e+01	3.4964621615e-02	1.1500814490e+00	0.0000000000e+00
1.8696000000e+03	4.5560087213e-02	-3.0854208950e+00	2.4145791050e+00	1.0957933952e+01	3.4974664472e-02	1.1500814490e+00	0.0000000000e+00
1.8697000000e+03	4.5560087213e-02	-3.0861512703e+00	2.4138487297e+00	1.0957938601e+01	3.4984677804e-02	1.1500814490e+00	0.0000000000e+00
1.8698000000e+03	4.5560087213e-02	-3.0868796838e+00	2.4131203162e+00	1.0957943204e+01	3.4994661697e-02	1.1500814490e+00	0.0000000000e+00
1.8699000000e+03	4.5560087213e-02	-3.0876061387e+00	2.4123938613e+00	1.0957947761e+01	3.5004616231e-02	1.1500814490e+00	0.0000000000e+00
1.8700000000e+03	4.5560087213e-02	-3.0883306384e+00	2.4116693616e+00	1.0957952273e+01	3.5014541489e-02	1.1500814490e+00	0.0000000000e+00
1.8701000000e+03	4.5560087213e-02	-3.0890531860e+00	2.4109468140e+00	1.0957956740e+01	3.5024437555e-02	1.1500814490e+00	0.0000000000e+00
1.8702000000e+03	4.5560087213e-02	-3.0897737848e+00	2.4102262152e+00	1.0957961163e+01	3.5034304509e-02	1.1500814490e+00	0.0000000000e+00
1.8703000000e+03	4.5560087213e-02	-3.0904924380e+00	2.4095075620e+00	1.0957965541e+01	3.5044142434e-02	1.1500814490e+00	0.0000000000e+00
1.8704000000e+03	4.5560087213e-02	-3.0912091489e+00	2.4087908511e+00	1.0957969876e+01	3.5053951412e-02	1.1500814490e+00	0.0000000000e+00
